epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.115,1.69612,5.6998,1.73244,0.3626,0.57895,0.39428,0.24406,1.54931,4.91589,1.62199,0.0001125,0.0001125,0.0001125
2,15.4556,1.62557,3.56759,1.70604,0.52548,0.52632,0.48177,0.23111,1.55728,7.08421,1.81579,0.000233581,0.000233581,0.000233581
3,21.0997,1.6032,2.5464,1.59417,0.27136,0.42105,0.27339,0.13818,1.85931,6.22159,2.05482,0.000350537,0.000350537,0.000350537
4,25.4151,1.67573,2.53083,1.63333,0.29014,0.47368,0.29739,0.08284,2.00973,6.50157,2.35365,0.000463369,0.000463369,0.000463369
5,30.6161,1.79581,2.47696,1.74496,0.19123,0.26316,0.09336,0.04073,2.18701,11.2168,2.33624,0.000572075,0.000572075,0.000572075
6,36.066,1.71776,2.34873,1.69829,0.34723,0.47368,0.37824,0.21207,1.92535,15.724,1.99807,0.000676656,0.000676656,0.000676656
7,40.8199,1.77636,2.23912,1.78726,0.40524,0.21053,0.19536,0.11447,2.06145,8.21546,2.0779,0.000777113,0.000777113,0.000777113
8,47.438,1.72334,2.06824,1.69107,0.51026,0.26316,0.28785,0.13061,2.14621,3.70016,2.09771,0.000873444,0.000873444,0.000873444
9,51.6863,1.70479,2.09342,1.73285,0.31316,0.36842,0.22998,0.06041,2.51486,5.09835,2.93215,0.00096565,0.00096565,0.00096565
10,55.819,1.65415,1.98871,1.6434,0.39784,0.36842,0.31021,0.15482,1.80769,9.52531,2.07005,0.00105373,0.00105373,0.00105373
11,61.34,1.71164,1.89746,1.67477,0.53862,0.36842,0.3563,0.17764,1.87588,6.07462,2.25559,0.00104375,0.00104375,0.00104375
12,66.5596,1.66224,1.86456,1.61981,0.69999,0.31579,0.28144,0.13321,2.16023,4.95861,2.7457,0.00102312,0.00102312,0.00102312
13,70.8824,1.67508,1.92417,1.70365,0.76319,0.36842,0.44463,0.20291,2.42707,3.80943,2.79352,0.0010025,0.0010025,0.0010025
14,76.8102,1.67009,1.83284,1.67594,0.26054,0.31579,0.22828,0.10559,2.23935,6.84106,2.68935,0.000981875,0.000981875,0.000981875
15,81.1914,1.72623,1.81507,1.72243,0.24775,0.57895,0.26775,0.08831,2.13568,9.1379,2.55496,0.00096125,0.00096125,0.00096125
